ACT1_1,ACT1_2,DISTRESS,EMPLOY,FINGOALS,FSscore,FWBscore,GOALCONF,KHscore,LMscore,MANAGE1_1,MANAGE1_2,MANAGE1_3,MANAGE1_4,MATHARDSHIP_1,MATHARDSHIP_2,MATHARDSHIP_3,MATHARDSHIP_4,MATHARDSHIP_5,MATHARDSHIP_6,PPEDUC,PPHHSIZE,PPINCIMP,PROPPLAN_1,PROPPLAN_2,PROPPLAN_3,PROPPLAN_4,SAVEHABIT,SELFCONTROL_1,SELFCONTROL_2,SELFCONTROL_3,agecat,HARDSHIP_TOTAL,FWB_high,FWBcat
5.0,4.0,2.0,2.0,1.0,64.0,69.0,3.0,0.712,3,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,9,5.0,4.0,5.0,4.0,6.0,1.0,3.0,3.0,5,0.0,1,High
5.0,3.0,4.0,1.0,1.0,58.0,70.0,3.0,1.267,3,5.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4,3,9,1.0,3.0,3.0,2.0,5.0,3.0,2.0,3.0,4,0.0,1,High
4.0,3.0,4.0,2.0,0.0,45.0,42.0,3.0,-0.57,3,4.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2,4,7,5.0,4.0,4.0,2.0,4.0,1.0,3.0,3.0,2,0.0,0,Low
5.0,5.0,1.0,8.0,0.0,53.0,73.0,4.0,-0.188,3,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,7,4.0,4.0,4.0,3.0,5.0,2.0,3.0,3.0,6,0.0,1,High
4.0,4.0,3.0,3.0,1.0,55.0,62.0,3.0,0.712,3,5.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,9,3.0,4.0,4.0,3.0,5.0,2.0,3.0,1.0,6,0.0,1,High
5.0,4.0,3.0,8.0,1.0,55.0,62.0,3.0,1.267,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,5,3,7,5.0,2.0,3.0,2.0,6.0,1.0,1.0,1.0,6,1.0,1,High
5.0,5.0,5.0,2.0,1.0,56.0,52.0,4.0,0.712,3,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,6,4.0,4.0,4.0,4.0,6.0,2.0,3.0,3.0,3,0.0,0,Medium
5.0,4.0,4.0,2.0,1.0,61.0,63.0,4.0,0.712,3,5.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,4,8,4.0,3.0,4.0,3.0,5.0,2.0,3.0,3.0,3,0.0,1,High
2.0,4.0,4.0,2.0,1.0,51.0,50.0,3.0,-1.215,2,5.0,3.0,3.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,3,3,9,4.0,4.0,4.0,3.0,6.0,2.0,3.0,3.0,4,5.0,0,Medium
5.0,4.0,2.0,8.0,1.0,49.0,56.0,4.0,-0.188,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,6,4.0,4.0,4.0,4.0,6.0,1.0,,3.0,8,0.0,1,Medium
3.0,3.0,3.0,3.0,1.0,43.0,50.0,3.0,-1.713,2,5.0,5.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2,2,5,4.0,3.0,4.0,3.0,5.0,2.0,3.0,3.0,5,1.0,0,Medium
4.0,4.0,3.0,2.0,1.0,44.0,59.0,4.0,-0.57,2,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,6,4.0,4.0,4.0,4.0,6.0,2.0,3.0,3.0,6,0.0,1,Medium
5.0,3.0,2.0,8.0,0.0,41.0,50.0,3.0,0.712,3,5.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,9,3.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,6,0.0,0,Medium
5.0,5.0,4.0,2.0,1.0,79.0,86.0,4.0,-0.909,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3,4,3,5.0,5.0,5.0,5.0,6.0,1.0,4.0,4.0,3,0.0,1,High
3.0,3.0,3.0,6.0,1.0,37.0,50.0,3.0,-0.57,3,4.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3,5,5.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,6,0.0,0,Medium
5.0,4.0,5.0,2.0,1.0,44.0,56.0,4.0,0.242,3,5.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5,4,8,4.0,3.0,3.0,4.0,6.0,1.0,3.0,3.0,3,0.0,1,Medium
5.0,5.0,4.0,2.0,1.0,61.0,59.0,4.0,-0.57,3,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3,8,5.0,5.0,5.0,5.0,6.0,2.0,3.0,3.0,3,0.0,1,Medium
5.0,5.0,2.0,8.0,0.0,64.0,81.0,4.0,1.267,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,9,3.0,3.0,5.0,5.0,5.0,1.0,4.0,4.0,6,0.0,1,High
4.0,3.0,4.0,2.0,1.0,47.0,43.0,3.0,0.712,3,3.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4,4,9,3.0,3.0,4.0,4.0,5.0,2.0,3.0,2.0,2,0.0,0,Low
4.0,4.0,5.0,2.0,1.0,55.0,31.0,3.0,-0.57,1,4.0,3.0,2.0,5.0,3.0,3.0,2.0,2.0,2.0,1.0,1,2,3,5.0,5.0,5.0,5.0,4.0,1.0,3.0,4.0,2,5.0,0,Low
4.0,4.0,4.0,2.0,1.0,48.0,52.0,3.0,0.242,3,4.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,9,4.0,4.0,4.0,4.0,5.0,1.0,3.0,4.0,4,0.0,0,Medium
4.0,3.0,3.0,8.0,0.0,37.0,49.0,3.0,0.712,3,4.0,1.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,3,1,4,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,6,1.0,0,Medium
5.0,5.0,2.0,8.0,0.0,60.0,83.0,4.0,0.242,2,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,9,5.0,5.0,4.0,3.0,5.0,2.0,3.0,4.0,8,0.0,1,High
4.0,4.0,4.0,2.0,1.0,67.0,70.0,4.0,1.267,3,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4,4,8,5.0,5.0,5.0,5.0,6.0,2.0,3.0,3.0,3,0.0,1,High
