FWBscore,SAVEHABIT,SCFHORIZON,PROPPLAN_1,PROPPLAN_2,PROPPLAN_3,PROPPLAN_4,MANAGE1_1,MANAGE1_2,MANAGE1_3,MANAGE1_4,ACT1_1,ACT1_2,FINGOALS,GOALCONF,DISTRESS,ABSORBSHOCK,VOLATILITY,ENDSMEET,COVERCOSTS,MATHARDSHIP_1,MATHARDSHIP_2,MATHARDSHIP_3,MATHARDSHIP_4,MATHARDSHIP_5,MATHARDSHIP_6,SHOCKS_1,SHOCKS_2,SHOCKS_3,SHOCKS_4,SHOCKS_5,SHOCKS_6,SHOCKS_7,SHOCKS_8,SHOCKS_9,SHOCKS_10,SHOCKS_11,PAREDUC,FINSOC2_1,FINSOC2_2,FINSOC2_3,FINSOC2_4,FINSOC2_5,FINSOC2_6,FINSOC2_7,EARNERS,PPHHSIZE,LIVINGARRANGEMENT,MATERIALISM_1,MATERIALISM_2,MATERIALISM_3,CONNECT,OUTLOOK_1,OUTLOOK_2,agecat,PPINCIMP,PPEDUC,EMPLOY,PPGENDER,PPETHM,LMscore,KHscore,FSscore,finalwt,row_missing_core_pct,HARDSHIP_TOTAL,FWB_high_54,FWB_high_56,FWBcat,behavior_cluster
52.0,4.0,2.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,5.0,5.0,4.0,1.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,0,0,0,0,1,0,0,0,0,0,1,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2,2.0,2.0,3.0,1.0,80.0,4.0,2.0,5,6,2,2.0,2,1,3,0.242,61.0,1.08934450393574,0.0,6,0,0,Medium,1
62.0,4.0,2.0,3.0,3.0,3.0,2.0,5.0,4.0,5.0,5.0,4.0,3.0,0.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2,2.0,3.0,3.0,3.0,80.0,3.0,2.0,8,6,2,4.0,2,1,2,0.242,48.0,0.616246170526686,0.0,6,1,1,High,2
40.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,1.0,4.0,3.0,3.0,0.0,3.0,3.0,8.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,3.0,2.0,2.0,1.0,50.0,1.0,3.0,3,1,2,7.0,1,1,2,-0.909,31.0,1.03844687194095,0.0,6,0,0,Low,2
33.0,3.0,1.0,5.0,4.0,4.0,4.0,5.0,4.0,1.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,1,0,0,0,0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4,2.0,3.0,3.0,2.0,85.0,4.0,2.0,3,2,2,1.0,1,1,3,-0.188,35.0,1.01016772555133,0.0,6,0,0,Low,2
45.0,2.0,4.0,5.0,4.0,2.0,3.0,5.0,4.0,2.0,4.0,5.0,2.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2.0,3.0,5.0,4.0,70.0,5.0,2.0,2,7,3,2.0,1,1,3,0.242,42.0,1.51550699282138,0.0,6,0,0,Medium,2
33.0,2.0,1.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4,1.0,3.0,4.0,3.0,0.0,4.0,3.0,2,3,2,3.0,2,2,1,-1.215,37.0,1.49569506017047,0.0,6,0,0,Low,0
54.0,6.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0,1,0,1,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5,3.0,4.0,4.0,4.0,50.0,4.0,4.0,1,1,3,5.0,1,4,3,-0.57,51.0,0.639515233996807,0.0,6,1,0,Medium,2
39.0,3.0,4.0,3.0,3.0,2.0,2.0,5.0,2.0,5.0,3.0,2.0,2.0,0.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2,2.0,3.0,3.0,3.0,22.0,2.0,4.0,2,8,5,2.0,2,1,2,-0.909,28.0,0.790106185384546,0.0,6,0,0,Low,2
56.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,0.0,4.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,5.0,4.0,3.0,3.0,50.0,5.0,4.0,3,6,2,1.0,1,1,3,0.242,50.0,1.32756071178087,0.0,6,1,1,Medium,1
38.0,2.0,1.0,4.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,5.0,5.0,0.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2.0,2.0,2.0,2.0,100.0,3.0,3.0,5,2,3,2.0,1,2,2,-0.909,43.0,0.698364427747352,0.0,6,0,0,Low,2
